,,,,,,,,,,
"Table A: Avg utilisation for 2 xs-4114 nodes, tinkywinky.in, depth = x, Nmin=1,Nmax=2,prob = 0.10",,,,,,,,,,
Depth\Number of processes,4,8,16,20,,,,,,
Depth 8,0.70971,0.53685,0.26687,0.21541,,,,,,
Depth 16,0.72843,0.70658,0.44982,0.36297,,,,,,
Depth 32,0.74497,0.80597,0.70316,0.65877,,,,,,
,,,,,,Depth\Number of processes,4,8,16,20
,,,,,,Depth 8,0.70971,0.53685,0.26687,0.21541
"Table B: Speedup for 2 xs-4114 nodes, tinkywinky.in, depth = x, Nmin=1,Nmax=2, prob = 0.10",,,,,,Depth 16,0.72843,0.70658,0.44982,0.36297
Depth/Number of processes,4,8,16,20,,Depth 32,0.74497,0.80597,0.70316,0.65877
Depth 8,1.8281,2.6259,2.4619,2.393,,,,,,
Depth 16,1.8782,3.4358,4.1578,4.03,,Depth/Number of processes,4,8,16,20
Depth 32,1.9117,3.9417,6.5284,7.3442,,Depth 8,1.8281,2.6259,2.4619,2.393
,,,,,,Depth 16,1.8782,3.4358,4.1578,4.03
"Table C: Speedup for 2 i7-7700 nodes, dipsy.in, depth = x, Nmin = 3, Nmax = 3, prob = 0",,,,,,Depth 32,1.9117,3.9417,6.5284,7.3442
Depth,naive,master,final,,,,,,,
4,1.37,2.16,4.24,,,,,,,
5,1.45,2.81,5.17,,,,,,,
6,1.58,2.95,6.08,,,,,,,
7,1.55,3.16,6.21,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Table D: Avg utilisation for 2 i7-7700 nodes, dipsy.in, depth = x, Nmin = 3, Nmax = 3, prob = 0",,,,,,,,,,
Depth,naive,master,final,,,,,,,
4,0.191,0.307,0.588,,,,,,,
5,0.202,0.4,0.714,,,,,,,
6,0.22,0.42,0.841,,,,,,,
7,0.216,0.45,0.859,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Table E: Avg utilisation for 2 xs-4114 nodes, tinkywinky.in, depth=32, Nmin=1, Nmax=2, prob = 0.10",,,,,,,,,,
Number of nodes/Number of processes,4,8,10,16,20,30,35,,,
1 node,0.74631,0.80786,0.79866,0.71173,0.66096,0.51033,0.45676,,,
2 nodes,0.74469,0.81064,0.79989,0.71364,0.6584,0.55023,0.39946,,,
3 nodes,0.74619,0.83399,0.80205,0.71638,0.65584,0.511,0.42555,,,
4 nodes,0.74249,0.81425,0.80768,0.71405,0.65502,0.50842,0.44882,,,
,,,,,,,,,,
"Table F: Speedup for 2 xs-4114 nodes, tinkywinky.in, depth=32, Nmin=1, Nmax=2, prob = 0.10",,,,,,,,,,
Number of nodes/Number of processes,4,8,10,16,20,30,35,,,
1 node,1.8173,3.7577,4.3781,4.7683,4.8476,3.7908,3.3482,,,
2 nodes,1.9092,3.9522,4.7053,6.5937,7.148,7.0167,5.262,,,
3 nodes,1.9399,4.1523,4.8249,6.834,7.5972,8.3384,7.1631,,,
4 nodes,1.9435,4.156,4.9697,6.9517,7.6648,8.778,8.636,,,